timestamp,client_ip,client_port,event,username,session_id
2025-09-19T06:42:10.773206Z,192.168.205.130,35610,connection,,1758264130773
2025-09-19T10:30:22.836351Z,192.168.205.130,59278,connection,,1758277822803
2025-09-20T02:20:36.928607Z,192.168.205.130,50632,connection,,1758334836923
