timestamp,client_ip,client_port,method,path,status,user_agent,session_id
2025-09-19T10:29:10.172163Z,192.168.205.130,36094,GET,/,404,curl/7.81.0,1758277750158
2025-09-19T10:29:14.373336Z,192.168.205.130,36100,GET,/,404,curl/7.81.0,1758277754362
2025-09-19T10:29:33.772949Z,127.0.0.1,58370,GET,/,404,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:143.0) Gecko/20100101 Firefox/143.0,1758277773775
2025-09-19T10:29:34.381178Z,127.0.0.1,58376,GET,/favicon.ico,404,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:143.0) Gecko/20100101 Firefox/143.0,1758277774384
2025-09-20T02:21:13.701808Z,127.0.0.1,45550,GET,/,404,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:143.0) Gecko/20100101 Firefox/143.0,1758334873667
